direction,token,train_freq,train_pct,dev_freq,dev_pct,devtest_freq,devtest_pct
ar-en/ar,فيما,395,0.0708,37,0.1163,18,0.1133
ar-en/ar,ألف,395,0.0708,23,0.0723,6,0.0378
ar-en/ar,أيضًا,387,0.0693,7,0.022,5,0.0315
ar-en/ar,الذكاء,381,0.0683,13,0.0409,8,0.0504
ar-en/ar,–,381,0.0683,8,0.0251,6,0.0378
ar-en/ar,الأميركي,376,0.0674,40,0.1257,17,0.107
ar-en/ar,عدد,371,0.0665,17,0.0534,16,0.1007
ar-en/ar,السعودية,371,0.0665,17,0.0534,49,0.3085
ar-en/ar,قال,368,0.0659,18,0.0566,10,0.063
ar-en/ar,تلك,356,0.0638,13,0.0409,15,0.0944
ar-en/ar,هناك,353,0.0632,10,0.0314,7,0.0441
ar-en/ar,وفق,346,0.062,47,0.1477,11,0.0692
ar-en/ar,ومن,344,0.0616,17,0.0534,8,0.0504
ar-en/ar,أمام,339,0.0607,22,0.0691,24,0.1511
ar-en/ar,وهي,338,0.0606,12,0.0377,5,0.0315
ar-en/ar,الاصطناعي,337,0.0604,11,0.0346,6,0.0378
ar-en/en,the,38876,5.7951,2553,6.4244,1261,6.431
ar-en/en,of,19410,2.8934,1133,2.8511,545,2.7795
ar-en/en,to,17682,2.6358,1085,2.7303,577,2.9427
ar-en/en,and,17490,2.6072,833,2.0962,513,2.6163
ar-en/en,in,13065,1.9475,732,1.842,330,1.683
ar-en/en,a,11887,1.7719,652,1.6407,312,1.5912
ar-en/en,that,7630,1.1374,549,1.3815,227,1.1577
ar-en/en,for,6442,0.9603,384,0.9663,223,1.1373
ar-en/en,The,5364,0.7996,373,0.9386,200,1.02
ar-en/en,on,4806,0.7164,289,0.7272,142,0.7242
ar-en/en,is,4527,0.6748,243,0.6115,118,0.6018
ar-en/en,by,4402,0.6562,328,0.8254,168,0.8568
ar-en/en,with,4315,0.6432,216,0.5435,96,0.4896
ar-en/en,from,3854,0.5745,231,0.5813,130,0.663
ar-en/en,as,3618,0.5393,213,0.536,83,0.4233
ar-en/en,their,3140,0.4681,189,0.4756,116,0.5916
ar-en/en,has,3034,0.4523,203,0.5108,102,0.5202
ar-en/en,its,2888,0.4305,218,0.5486,94,0.4794
ar-en/en,at,2771,0.4131,203,0.5108,83,0.4233
ar-en/en,was,2594,0.3867,154,0.3875,50,0.255
ar-en/en,this,2336,0.3482,169,0.4253,55,0.2805
ar-en/en,have,2250,0.3354,111,0.2793,63,0.3213
ar-en/en,are,2246,0.3348,104,0.2617,44,0.2244
ar-en/en,In,2242,0.3342,145,0.3649,77,0.3927
ar-en/en,an,2078,0.3098,106,0.2667,43,0.2193
ar-en/en,which,2004,0.2987,158,0.3976,66,0.3366
ar-en/en,his,1906,0.2841,121,0.3045,96,0.4896
ar-en/en,it,1796,0.2677,104,0.2617,44,0.2244
ar-en/en,or,1778,0.265,99,0.2491,41,0.2091
ar-en/en,not,1746,0.2603,90,0.2265,31,0.1581
ar-en/en,This,1590,0.237,110,0.2768,45,0.2295
ar-en/en,be,1532,0.2284,75,0.1887,24,0.1224
ar-en/en,will,1508,0.2248,113,0.2844,54,0.2754
ar-en/en,who,1466,0.2185,61,0.1535,30,0.153
ar-en/en,they,1415,0.2109,78,0.1963,47,0.2397
ar-en/en,over,1370,0.2042,104,0.2617,57,0.2907
ar-en/en,been,1329,0.1981,71,0.1787,33,0.1683
ar-en/en,he,1308,0.195,84,0.2114,49,0.2499
ar-en/en,also,1264,0.1884,68,0.1711,31,0.1581
ar-en/en,were,1211,0.1805,61,0.1535,14,0.0714
ar-en/en,I,1177,0.1755,14,0.0352,13,0.0663
ar-en/en,",",1174,0.175,0,0.0,0,0.0
ar-en/en,these,1125,0.1677,58,0.146,34,0.1734
ar-en/en,significant,1104,0.1646,86,0.2164,49,0.2499
ar-en/en,but,1070,0.1595,39,0.0981,23,0.1173
ar-en/en,during,1037,0.1546,74,0.1862,38,0.1938
ar-en/en,about,978,0.1458,38,0.0956,20,0.102
ar-en/en,more,963,0.1436,40,0.1007,29,0.1479
ar-en/en,against,958,0.1428,51,0.1283,33,0.1683
ar-en/en,into,933,0.1391,44,0.1107,20,0.102
ar-en/en,through,920,0.1371,60,0.151,41,0.2091
ar-en/en,one,918,0.1368,53,0.1334,15,0.0765
ar-en/en,such,907,0.1352,53,0.1334,18,0.0918
ar-en/en,between,894,0.1333,49,0.1233,27,0.1377
ar-en/en,while,860,0.1282,75,0.1887,44,0.2244
ar-en/en,new,855,0.1275,48,0.1208,16,0.0816
ar-en/en,within,854,0.1273,65,0.1636,22,0.1122
ar-en/en,President,853,0.1272,67,0.1686,40,0.204
ar-en/en,According,819,0.1221,55,0.1384,32,0.1632
ar-en/en,both,801,0.1194,47,0.1183,37,0.1887
ar-en/en,would,793,0.1182,52,0.1309,26,0.1326
ar-en/en,where,790,0.1178,36,0.0906,10,0.051
ar-en/en,Saudi,782,0.1166,38,0.0956,80,0.408
ar-en/en,can,757,0.1128,29,0.073,18,0.0918
ar-en/en,—,757,0.1128,0,0.0,0,0.0
ar-en/en,He,738,0.11,43,0.1082,35,0.1785
ar-en/en,all,736,0.1097,39,0.0981,28,0.1428
ar-en/en,had,735,0.1096,31,0.078,11,0.0561
ar-en/en,according,724,0.1079,64,0.1611,31,0.1581
ar-en/en,due,722,0.1076,85,0.2139,20,0.102
ar-en/en,when,714,0.1064,44,0.1107,13,0.0663
ar-en/en,than,713,0.1063,39,0.0981,9,0.0459
ar-en/en,two,700,0.1043,53,0.1334,19,0.0969
ar-en/en,like,693,0.1033,46,0.1158,16,0.0816
